JMC78,->,Dunhill; Benson and Hedges; Winston; Djarum; American Spirit; Lucky Strike; 
g28401,->,
niggsmoker666,->,Dunhill; Benson and Hedges; Newport; Djarum; Lucky Strike; 
Yanksox,->,Dunhill; Newport; Benson and Hedges; Djarum; Lucky Strike; Camel; 
Silmarwen,->,Winston; Djarum; Dunhill; Benson and Hedges; Newport; Lucky Strike; American Spirit; 
Kaijapska,->,Newport; Winston; Djarum; Dunhill; Benson and Hedges; Lucky Strike; American Spirit; 
Calvicad,->,Winston; L&M; Dunhill; Djarum; Lucky Strike; Benson and Hedges; American Spirit; 
ruffio,->,Winston; Dunhill; Benson and Hedges; Newport; Djarum; American Spirit; Lucky Strike; 
ZRBJR1216@aol.com,->,Winston; Dunhill; Benson and Hedges; Newport; Djarum; American Spirit; Lucky Strike; 
vilerage,->,Winston; Dunhill; Djarum; Benson and Hedges; Lucky Strike; 
Tony T Bone,->,Newport; Winston; Djarum; Dunhill; Marlboro; Benson and Hedges; American Spirit; Lucky Strike; 
savery,->,Newport; Winston; Djarum; American Spirit; Marlboro; Lucky Strike; 
Strelok,->,
gobias,->,Newport; Winston; Djarum; Dunhill; Marlboro; Benson and Hedges; American Spirit; Lucky Strike; 
Rambus,->,Newport; L&M; Djarum; Lucky Strike; Marlboro; Dunhill; Benson and Hedges; 
17yearsold,->,
Alex Umrysh,->,
captaincool,->,Djarum; Newport; Winston; Lucky Strike; Marlboro; Dunhill; American Spirit; Benson and Hedges; 
caged in,->,Djarum; Winston; Lucky Strike; Marlboro; American Spirit; Dunhill; Benson and Hedges; 
bkramer7,->,
Tie,->,Camel; 
reverb10,->,Newport; Marlboro; Djarum; Dunhill; Lucky Strike; Benson and Hedges; Camel; 
PyroLogik,->,
Petr_4,->,
featherofmaat,->,
Rizelico,->,
ml,->,
