,B001E4KFG0,B00813GRG4,B000LQOCH0,B000UA0QIQ,B006K2ZZ7K,B000E7L2R4,B00171APVA,B0001PB9FE,B0009XLVG0,B001GVISJM,B00144C10S,B0001PB9FY,B003F6UO7K,B001EO5QW8
A3SGXH7AUHU8GW,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,,,,,,,,,,,,
A1D87F6ZCVE5NK,,"LOW:1.0
MEDIUM:0.0
HIGH:0.0
",,,,,,,,,,,,
ABXLMWJIXXAIN,,,"LOW:0.0
MEDIUM:0.2
HIGH:0.8
",,,,,,,,,,,
A395BORC6FGVXV,,,,"LOW:0.8
MEDIUM:0.2
HIGH:0.0
",,,,,,,,,,
A1UQRSCLF8GW1T,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,,,,,,,,
ADT0SRK1MGOEU,,,,,"LOW:0.0
MEDIUM:0.2
HIGH:0.8
",,,,,,,,,
A1SP2KVKFXXRU1,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,,,,,,,,
A3JRGQVEQN31IQ,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,,,,,,,,
A1MZYO9TZK0BBI,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,,,,,,,
A21BT40VZCCYT4,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,,,,,,
A3HDKO7OW0QNK4,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,,,,,
A2725IB4YY9JEB,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,,,,
A327PCT23YH90,,,,,,,,,"LOW:1.0
MEDIUM:0.0
HIGH:0.0
",,,,,
A18ECVX2RJ7HUE,,,,,,,,,,"LOW:0.0
MEDIUM:0.2
HIGH:0.8
",,,,
A2MUGFV2TDQ47K,,,,,,,,,,"LOW:0.0
MEDIUM:0.0
HIGH:1.0
",,,,
